28343;Калина2 ао
548;Калина-ао
550;КалугЭн-ао
28371;КалужскГК
555;КалужскСК
511;КАМАЗ
27964;КАМАЗ-08
27963;КАМАЗ-10
34936;КамскДК ао
558;КамчатЭ ао
559;КамчатЭ ап
560;КапИнвНедв
561;КапИнвПркт
28426;КашГРЭС4ао
29055;Квадра
29058;Квадра-п
519;КЗМС ао
27816;Кировэл-2
27817;Кировэл-2п
571;КировЭС ао
572;КировЭС ап
573;Кирэн-ао-5
574;Кирэн-ап-5
520;КИТ-МФН-ип
42049;КитФинБ ао
521;КИТФ-РЖНип
525;КМЗ
528;КНОС-ао
529;КОКС ао
49900;Кольчуга
581;Колэнерго
580;КолЭС ао
41491;КолЭС ап
27735;Коминефть
27872;КомиСв-3ап
27873;КомиСв-4ао
27807;КомиТЭК
27842;Комиэн-5ао
582;Комиэнерго
41810;Коммунар
534;КОМСТАР ао
28350;КонакГРЭС
535;КОНКОРД ИП
586;КорСсис ао
587;КорСсис ап
589;КоршГОК ао
41809;КосогМЗ ао
28394;КострГК
28395;КострГК-п
591;КострЭн ао
592;КострЭн ап
69859;КоттедПарк
540;КПлГосУчпф
28436;КраснГен
28437;КраснГен-п
602;КраснГЭС
598;КрасОкт-1п
27730;КрасОкт-3
599;КрасОкт-ао
605;Красэн2-ао
606;Красэн2-ап
607;Красэсб ао
608;Красэсб ап
541;КСБ ао
542;КСБ ап
611;КубанСт ап
612;КубаньЭнСб
614;Кубанэнр
38032;Кубанэнр2D
49583;Кубанэнр3D
615;Кузбасэнрг
28927;КузбТК 01D
28676;КузбТК ао
47480;КузнецкийБ
616;КузнМстпф
41969;КУЗОЦМ ао
41967;Куйбазот
41968;Куйбазот-п
48811;КурганГКао
49088;КурганГКап
41492;КурганЭн
41493;КурганЭн-п
27818;Кургэс-3ао
27819;Кургэс-3ап
28363;КурскГК
28364;КурскГК-п
620;КурскЭнСб
619;КурскЭнС-п
621;Курэнер-ао
622;Курэнер-ап
127802;Кутузовски
543;КЧХК
544;КЧХК-ап
643;Лебедян-ао
14995;Лензол. ап
647;Лензолото
64410;Лента др
27741;Ленэн-ао-2
27775;Ленэн-ап-2
650;Ленэнерго
648;Ленэнерг-п
653;Либра-ПКап
652;Либр-ДОчаг
41230;ЛигалКэп
40946;Линк Холд
28360;ЛипецкГК
660;Липецкэнрг
659;ЛипецкЭнСб
161887;ЛобняЗПИФ
41496;ЛОМО ао
41497;ЛОМО ап
629;ЛСР ао
632;ЛУКОЙЛ
633;ЛУКОЙЛ ФОИ
634;ЛУКОЙЛ ФПВ
27843;ЛУКОЙЛ-5ао
27844;ЛУКОЙЛ-6ао
27910;ЛУКОЙЛ-7ао
27887;ЛУКОЙЛ-8ао
635;ЛУКОЙЛКонс
636;ЛУКОЙЛф1ип
637;ЛУКОЙЛфПип
41498;ЛЭСК ао
666;М.видео
31760;МагадЭн ао
31761;МагадЭн ап
832;Магнит ао
17326;Магнит-005
42385;Магнит-006
833;Магнит-04D
838;МакИндММВБ
28398;МарийРГК
28399;МарийРГК-п
840;МариЭнСб
841;МариЭнСб-п
41813;МашЗавод
669;МБСП
27845;МГТС-3-ап
